age,sex,education,income_family,n
17,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
17,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",4
17,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
17,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",3
17,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
17,Female,"NA","$125,000 and more",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",5
17,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",2
17,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",3
17,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",2
17,Male,"NA","$125,000 and more",1
17,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
17,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
17,Female,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
17,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
17,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",3
17,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",2
17,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
17,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
17,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",5
17,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",2
17,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",4
17,Male,Less than high school diploma or its equivalent,"Less than $25,000",2
17,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
17,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",3
17,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
17,Female,Less than high school diploma or its equivalent,"Less than $25,000",2
17,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",2
17,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
17,Male,"NA","$125,000 and more",1
17,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
17,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
17,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
17,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
17,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",2
17,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
17,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
17,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
17,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
17,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
17,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
17,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",2
17,Female,Less than high school diploma or its equivalent,"Less than $25,000",2
17,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",3
17,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
17,Male,Less than high school diploma or its equivalent,"Less than $25,000",3
17,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",2
17,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
17,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
17,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
17,Female,Less than high school diploma or its equivalent,"$50,000 to $74,999",1
17,Female,Less than high school diploma or its equivalent,"Less than $25,000",2
17,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
17,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
17,Male,Less than high school diploma or its equivalent,"$100,000 to $ 124,999",1
17,Male,Less than high school diploma or its equivalent,"$125,000 and more",3
17,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
18,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
18,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Female,Less than high school diploma or its equivalent,"Less than $25,000",3
18,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
18,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
18,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",2
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
18,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
18,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",2
18,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
18,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
18,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
18,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
18,Male,Less than high school diploma or its equivalent,"$125,000 and more",1
18,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
18,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
18,Female,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
18,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
18,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",2
18,Female,Less than high school diploma or its equivalent,"$125,000 and more",2
18,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",3
18,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",2
18,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
18,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
