age,sex,education,income_family,n
26,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
26,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Female,Trade certificate or diploma,"$25,000 to $49,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
26,Male,Trade certificate or diploma,"$25,000 to $49,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",3
26,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Male,Trade certificate or diploma,"$25,000 to $49,999",1
26,Male,Trade certificate or diploma,"$75,000 to $99,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
26,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
26,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
26,Female,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",1
26,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
26,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
26,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
26,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Male,Trade certificate or diploma,"$75,000 to $99,999",1
26,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
26,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",2
26,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
26,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
26,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
26,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
26,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Female,"NA","$125,000 and more",1
26,Female,"NA","Less than $25,000",1
26,Female,Trade certificate or diploma,"$25,000 to $49,999",1
26,Female,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",1
26,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
26,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
26,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
26,Male,Trade certificate or diploma,"$50,000 to $74,999",1
26,Male,Trade certificate or diploma,"$75,000 to $99,999",1
26,Male,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
26,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
26,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
26,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
26,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",1
26,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
26,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
26,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
26,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
26,Male,Trade certificate or diploma,"$25,000 to $49,999",1
26,Male,Trade certificate or diploma,"$75,000 to $99,999",1
26,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
26,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
26,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",2
26,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
26,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
26,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Male,Trade certificate or diploma,"$125,000 and more",1
26,Male,Trade certificate or diploma,"$75,000 to $99,999",1
26,Male,University certificate or diploma below the bachelor's level,"Less than $25,000",1
26,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
26,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
26,Female,"NA","$25,000 to $49,999",1
26,Female,Trade certificate or diploma,"$50,000 to $74,999",1
26,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
26,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",1
26,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Female,Less than high school diploma or its equivalent,"$125,000 and more",1
26,Female,Trade certificate or diploma,"$75,000 to $99,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
26,Male,Trade certificate or diploma,"$25,000 to $49,999",1
26,Male,Trade certificate or diploma,"$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
26,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",3
26,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
26,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
26,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Female,"NA","Less than $25,000",1
26,Female,Trade certificate or diploma,"$75,000 to $99,999",1
26,Female,Trade certificate or diploma,"Less than $25,000",1
26,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
26,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
26,Female,University certificate or diploma below the bachelor's level,"Less than $25,000",1
26,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",2
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
26,Male,Trade certificate or diploma,"$25,000 to $49,999",1
26,Male,Trade certificate or diploma,"$50,000 to $74,999",1
26,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
26,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",3
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
26,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
26,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
26,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
26,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
26,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
26,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
26,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
26,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
26,Male,Trade certificate or diploma,"$25,000 to $49,999",1
26,Male,Trade certificate or diploma,"$50,000 to $74,999",1
26,Male,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",3
27,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
27,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
27,Female,"NA","$75,000 to $99,999",1
27,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
27,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
27,Male,Trade certificate or diploma,"$125,000 and more",1
27,Male,Trade certificate or diploma,"$50,000 to $74,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Female,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
27,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
27,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
27,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
27,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
27,Male,Trade certificate or diploma,"$100,000 to $ 124,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",2
27,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
27,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
27,Female,Trade certificate or diploma,"Less than $25,000",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",2
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
27,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
27,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
27,Male,Trade certificate or diploma,"$125,000 and more",1
27,Male,Trade certificate or diploma,"$25,000 to $49,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
27,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",2
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
27,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",3
27,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",2
27,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
27,Female,Trade certificate or diploma,"$100,000 to $ 124,999",2
27,Female,Trade certificate or diploma,"$25,000 to $49,999",2
27,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
27,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",1
27,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
27,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
27,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
27,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
27,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",1
27,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
27,Male,Trade certificate or diploma,"$50,000 to $74,999",3
27,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",1
27,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",2
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",2
27,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",4
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
27,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
27,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
27,Female,Trade certificate or diploma,"$125,000 and more",1
27,Female,University certificate or diploma below the bachelor's level,"Less than $25,000",1
27,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
27,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",2
27,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
27,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",1
27,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
27,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
27,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
27,Male,Trade certificate or diploma,"$25,000 to $49,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",1
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",3
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
27,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
27,Female,Less than high school diploma or its equivalent,"Less than $25,000",1
27,Female,University certificate or diploma below the bachelor's level,"$125,000 and more",1
27,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
27,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",1
27,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
27,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",1
27,Male,Trade certificate or diploma,"$125,000 and more",1
27,Male,Trade certificate or diploma,"$50,000 to $74,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
27,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",1
27,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
27,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",1
27,Male,Less than high school diploma or its equivalent,"Less than $25,000",1
27,Male,Trade certificate or diploma,"$100,000 to $ 124,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",2
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",2
27,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",3
27,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
27,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",1
27,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
27,Male,Trade certificate or diploma,"$100,000 to $ 124,999",2
27,Male,Trade certificate or diploma,"Less than $25,000",1
27,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",1
27,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",5
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
27,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",2
27,Female,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$125,000 and more",2
27,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Female,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
27,Female,High school diploma or a high school equivalency certificate,"$125,000 and more",2
27,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",1
27,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
27,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",1
27,Female,Trade certificate or diploma,"$25,000 to $49,999",1
27,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",1
27,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",1
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",2
27,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",1
27,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",1
27,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",2
27,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",1
27,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",2
27,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",1
27,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",1
27,Male,Trade certificate or diploma,"$25,000 to $49,999",1
27,Male,Trade certificate or diploma,"$50,000 to $74,999",1
27,Male,Trade certificate or diploma,"$75,000 to $99,999",2
27,Male,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",1
27,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",1
